iso_code;date;people_fully_vaccinated;population;pfv
AFG;19/01/2021;;38928341;
AFG;20/01/2021;;38928341;
AFG;21/01/2021;;38928341;
AFG;22/01/2021;;38928341;
AFG;23/01/2021;;38928341;
AFG;24/01/2021;;38928341;
AFG;25/01/2021;;38928341;
AFG;26/01/2021;;38928341;
AFG;27/01/2021;;38928341;
AFG;28/01/2021;;38928341;
AFG;29/01/2021;;38928341;
AFG;30/01/2021;;38928341;
AFG;31/01/2021;;38928341;
AFG;01/02/2021;;38928341;
AFG;02/02/2021;;38928341;
AFG;03/02/2021;;38928341;
AFG;04/02/2021;;38928341;
AFG;05/02/2021;;38928341;
AFG;06/02/2021;;38928341;
AFG;07/02/2021;;38928341;
AFG;08/02/2021;;38928341;
AFG;09/02/2021;;38928341;
AFG;10/02/2021;;38928341;
AFG;11/02/2021;;38928341;
AFG;12/02/2021;;38928341;
AFG;13/02/2021;;38928341;
AFG;14/02/2021;;38928341;
AFG;15/02/2021;;38928341;
AFG;16/02/2021;;38928341;
AFG;17/02/2021;;38928341;
AFG;18/02/2021;;38928341;
AFG;19/02/2021;;38928341;
AFG;20/02/2021;;38928341;
AFG;21/02/2021;;38928341;
AFG;22/02/2021;;38928341;
AFG;23/02/2021;;38928341;
AFG;24/02/2021;;38928341;
AFG;25/02/2021;;38928341;
AFG;26/02/2021;;38928341;
AFG;27/02/2021;;38928341;
AFG;28/02/2021;;38928341;
AFG;01/03/2021;;38928341;
AFG;02/03/2021;;38928341;
AFG;03/03/2021;;38928341;
AFG;04/03/2021;;38928341;
AFG;05/03/2021;;38928341;
AFG;06/03/2021;;38928341;
AFG;07/03/2021;;38928341;
AFG;08/03/2021;;38928341;
AFG;09/03/2021;;38928341;
AFG;10/03/2021;;38928341;
AFG;11/03/2021;;38928341;
AFG;12/03/2021;;38928341;
AFG;13/03/2021;;38928341;
AFG;14/03/2021;;38928341;
AFG;15/03/2021;;38928341;
AFG;16/03/2021;;38928341;
AFG;17/03/2021;;38928341;
AFG;18/03/2021;;38928341;
AFG;19/03/2021;;38928341;
AFG;20/03/2021;;38928341;
AFG;21/03/2021;;38928341;
AFG;22/03/2021;;38928341;
AFG;23/03/2021;;38928341;
AFG;24/03/2021;;38928341;
AFG;25/03/2021;;38928341;
AFG;26/03/2021;;38928341;
AFG;27/03/2021;;38928341;
AFG;28/03/2021;;38928341;
AFG;29/03/2021;;38928341;
AFG;30/03/2021;;38928341;
AFG;31/03/2021;;38928341;
AFG;01/04/2021;;38928341;
AFG;02/04/2021;;38928341;
AFG;03/04/2021;;38928341;
AFG;04/04/2021;;38928341;
AFG;05/04/2021;;38928341;
AFG;06/04/2021;;38928341;
AFG;07/04/2021;;38928341;0,00%
AFG;08/04/2021;;38928341;0
OWID_AFR;13/02/2020;;1340598113;
OWID_AFR;14/02/2020;;1340598113;
OWID_AFR;15/02/2020;;1340598113;
OWID_AFR;16/02/2020;;1340598113;
OWID_AFR;17/02/2020;;1340598113;
OWID_AFR;18/02/2020;;1340598113;
OWID_AFR;19/02/2020;;1340598113;
OWID_AFR;20/02/2020;;1340598113;
OWID_AFR;21/02/2020;;1340598113;
OWID_AFR;22/02/2020;;1340598113;
OWID_AFR;23/02/2020;;1340598113;
OWID_AFR;24/02/2020;;1340598113;
OWID_AFR;25/02/2020;;1340598113;
OWID_AFR;26/02/2020;;1340598113;
OWID_AFR;27/02/2020;;1340598113;
OWID_AFR;28/02/2020;;1340598113;
OWID_AFR;29/02/2020;;1340598113;
OWID_AFR;01/03/2020;;1340598113;
OWID_AFR;02/03/2020;;1340598113;
OWID_AFR;03/03/2020;;1340598113;
OWID_AFR;04/03/2020;;1340598113;
OWID_AFR;05/03/2020;;1340598113;
OWID_AFR;06/03/2020;;1340598113;
OWID_AFR;07/03/2020;;1340598113;
OWID_AFR;08/03/2020;;1340598113;
OWID_AFR;09/03/2020;;1340598113;
OWID_AFR;10/03/2020;;1340598113;
OWID_AFR;11/03/2020;;1340598113;
OWID_AFR;12/03/2020;;1340598113;
OWID_AFR;13/03/2020;;1340598113;
OWID_AFR;14/03/2020;;1340598113;
OWID_AFR;15/03/2020;;1340598113;
OWID_AFR;16/03/2020;;1340598113;
OWID_AFR;17/03/2020;;1340598113;
OWID_AFR;18/03/2020;;1340598113;
OWID_AFR;19/03/2020;;1340598113;
OWID_AFR;20/03/2020;;1340598113;
OWID_AFR;21/03/2020;;1340598113;
OWID_AFR;22/03/2020;;1340598113;
OWID_AFR;23/03/2020;;1340598113;
OWID_AFR;24/03/2020;;1340598113;
OWID_AFR;25/03/2020;;1340598113;
OWID_AFR;26/03/2020;;1340598113;
OWID_AFR;27/03/2020;;1340598113;
OWID_AFR;28/03/2020;;1340598113;
OWID_AFR;29/03/2020;;1340598113;
OWID_AFR;30/03/2020;;1340598113;
OWID_AFR;31/03/2020;;1340598113;
OWID_AFR;01/04/2020;;1340598113;
OWID_AFR;02/04/2020;;1340598113;
OWID_AFR;03/04/2020;;1340598113;
OWID_AFR;04/04/2020;;1340598113;
OWID_AFR;05/04/2020;;1340598113;
OWID_AFR;06/04/2020;;1340598113;
OWID_AFR;07/04/2020;;1340598113;
OWID_AFR;08/04/2020;;1340598113;
OWID_AFR;09/04/2020;;1340598113;
OWID_AFR;10/04/2020;;1340598113;
OWID_AFR;11/04/2020;;1340598113;
OWID_AFR;12/04/2020;;1340598113;
OWID_AFR;13/04/2020;;1340598113;
OWID_AFR;14/04/2020;;1340598113;
OWID_AFR;15/04/2020;;1340598113;
OWID_AFR;16/04/2020;;1340598113;
OWID_AFR;17/04/2020;;1340598113;
OWID_AFR;18/04/2020;;1340598113;
OWID_AFR;19/04/2020;;1340598113;
OWID_AFR;20/04/2020;;1340598113;
OWID_AFR;21/04/2020;;1340598113;
OWID_AFR;22/04/2020;;1340598113;
OWID_AFR;23/04/2020;;1340598113;
OWID_AFR;24/04/2020;;1340598113;
OWID_AFR;25/04/2020;;1340598113;
OWID_AFR;26/04/2020;;1340598113;
OWID_AFR;27/04/2020;;1340598113;
OWID_AFR;28/04/2020;;1340598113;
OWID_AFR;29/04/2020;;1340598113;
OWID_AFR;30/04/2020;;1340598113;
OWID_AFR;01/05/2020;;1340598113;
OWID_AFR;02/05/2020;;1340598113;
OWID_AFR;03/05/2020;;1340598113;
OWID_AFR;04/05/2020;;1340598113;
OWID_AFR;05/05/2020;;1340598113;
OWID_AFR;06/05/2020;;1340598113;
OWID_AFR;07/05/2020;;1340598113;
OWID_AFR;08/05/2020;;1340598113;
OWID_AFR;09/05/2020;;1340598113;
OWID_AFR;10/05/2020;;1340598113;
OWID_AFR;11/05/2020;;1340598113;
OWID_AFR;12/05/2020;;1340598113;
OWID_AFR;13/05/2020;;1340598113;
OWID_AFR;14/05/2020;;1340598113;
OWID_AFR;15/05/2020;;1340598113;
OWID_AFR;16/05/2020;;1340598113;
OWID_AFR;17/05/2020;;1340598113;
OWID_AFR;18/05/2020;;1340598113;
OWID_AFR;19/05/2020;;1340598113;
OWID_AFR;20/05/2020;;1340598113;
OWID_AFR;21/05/2020;;1340598113;
OWID_AFR;22/05/2020;;1340598113;
OWID_AFR;23/05/2020;;1340598113;
OWID_AFR;24/05/2020;;1340598113;
OWID_AFR;25/05/2020;;1340598113;
OWID_AFR;26/05/2020;;1340598113;
OWID_AFR;27/05/2020;;1340598113;
OWID_AFR;28/05/2020;;1340598113;
OWID_AFR;29/05/2020;;1340598113;
OWID_AFR;30/05/2020;;1340598113;
OWID_AFR;31/05/2020;;1340598113;
OWID_AFR;01/06/2020;;1340598113;
OWID_AFR;02/06/2020;;1340598113;
OWID_AFR;03/06/2020;;1340598113;
OWID_AFR;04/06/2020;;1340598113;
OWID_AFR;05/06/2020;;1340598113;
OWID_AFR;06/06/2020;;1340598113;
OWID_AFR;07/06/2020;;1340598113;
OWID_AFR;08/06/2020;;1340598113;
OWID_AFR;09/06/2020;;1340598113;
OWID_AFR;10/06/2020;;1340598113;
OWID_AFR;11/06/2020;;1340598113;
OWID_AFR;12/06/2020;;1340598113;
OWID_AFR;13/06/2020;;1340598113;
OWID_AFR;14/06/2020;;1340598113;
OWID_AFR;15/06/2020;;1340598113;
OWID_AFR;16/06/2020;;1340598113;
OWID_AFR;17/06/2020;;1340598113;
OWID_AFR;18/06/2020;;1340598113;
OWID_AFR;19/06/2020;;1340598113;
OWID_AFR;20/06/2020;;1340598113;
OWID_AFR;21/06/2020;;1340598113;
OWID_AFR;22/06/2020;;1340598113;
OWID_AFR;23/06/2020;;1340598113;
